time, R
0.636124,1.129211
0.637627,1.128878
0.639128,1.128545
0.640627,1.128211
0.642125,1.127877
0.643621,1.127543
0.645115,1.127208
0.646607,1.126873
0.648098,1.126538
0.649588,1.126202
0.651075,1.125866
0.652561,1.125529
0.654045,1.125192
0.655528,1.124855
0.657009,1.124517
0.658488,1.124179
0.659966,1.123841
0.661442,1.123502
0.662917,1.123163
0.664390,1.122824
0.665861,1.122484
0.667331,1.122144
0.668800,1.121803
0.670266,1.121462
0.671732,1.121121
0.673195,1.120779
0.674657,1.120437
0.676118,1.120095
0.677577,1.119753
0.679035,1.119410
0.680491,1.119066
0.681946,1.118723
0.683399,1.118379
0.684850,1.118034
0.686300,1.117690
0.687749,1.117344
0.689196,1.116999
0.690642,1.116653
0.692087,1.116307
0.693529,1.115961
0.694971,1.115614
0.696411,1.115267
0.697850,1.114920
0.699287,1.114572
0.700723,1.114224
0.702157,1.113875
0.703590,1.113526
0.705022,1.113177
0.706452,1.112828
0.707881,1.112478
0.709308,1.112128
0.710734,1.111778
0.712159,1.111427
0.713583,1.111076
0.715005,1.110724
0.716425,1.110372
0.717845,1.110020
0.719263,1.109668
0.720680,1.109315
0.722095,1.108962
0.723509,1.108609
0.724922,1.108255
0.726333,1.107901
0.727744,1.107547
0.729153,1.107192
0.730560,1.106837
0.731967,1.106482
0.733372,1.106126
0.734776,1.105770
0.736178,1.105414
0.737579,1.105058
0.738980,1.104701
0.740378,1.104343
0.741776,1.103986
0.743172,1.103628
0.744567,1.103270
0.745961,1.102912
0.747354,1.102553
0.748745,1.102194
0.750136,1.101834
0.751525,1.101475
0.752913,1.101115
0.754299,1.100755
0.755685,1.100394
0.757069,1.100033
0.758452,1.099672
0.759834,1.099310
0.761215,1.098949
0.762594,1.098586
0.763973,1.098224
0.765350,1.097861
0.766726,1.097498
0.768101,1.097135
0.769475,1.096771
0.770848,1.096408
0.772219,1.096043
0.773590,1.095679
0.774959,1.095314
0.776327,1.094949
0.777695,1.094584
0.779061,1.094218
0.780425,1.093852
0.781789,1.093486
0.783152,1.093119
0.784514,1.092753
0.785874,1.092386
0.787234,1.092018
0.788592,1.091650
0.789949,1.091282
0.791306,1.090914
0.792661,1.090546
0.794015,1.090177
0.795368,1.089808
0.796720,1.089438
0.798071,1.089069
0.799421,1.088699
0.800770,1.088329
0.802118,1.087958
0.803465,1.087587
0.804810,1.087216
0.806155,1.086845
0.807499,1.086473
0.808842,1.086101
0.810183,1.085729
0.811524,1.085357
0.812864,1.084984
0.814203,1.084611
0.815540,1.084238
0.816877,1.083864
0.818213,1.083490
0.819548,1.083116
0.820882,1.082742
0.822215,1.082367
0.823546,1.081992
0.824877,1.081617
0.826207,1.081242
0.827536,1.080866
0.828864,1.080490
0.830192,1.080114
0.831518,1.079737
0.832843,1.079361
0.834167,1.078984
0.835491,1.078606
0.836813,1.078229
0.838134,1.077851
0.839455,1.077473
0.840775,1.077095
0.842093,1.076716
0.843411,1.076337
0.844728,1.075958
0.846044,1.075579
0.847359,1.075199
0.848673,1.074819
0.849987,1.074439
0.851299,1.074059
0.852611,1.073678
0.853921,1.073297
0.855231,1.072916
0.856540,1.072535
0.857848,1.072153
0.859155,1.071771
0.860462,1.071389
0.861767,1.071007
0.863071,1.070624
0.864375,1.070241
0.865678,1.069858
0.866980,1.069475
0.868281,1.069091
0.869582,1.068707
0.870881,1.068323
0.872180,1.067939
0.873477,1.067554
0.874774,1.067169
0.876071,1.066784
0.877366,1.066399
0.878660,1.066013
0.879954,1.065627
0.881247,1.065241
0.882539,1.064855
0.883830,1.064468
0.885121,1.064082
0.886410,1.063695
0.887699,1.063307
0.888987,1.062920
0.890275,1.062532
0.891561,1.062144
0.892847,1.061756
0.894132,1.061368
0.895416,1.060979
0.896699,1.060590
0.897982,1.060201
0.899264,1.059812
0.900545,1.059422
0.901825,1.059032
0.903104,1.058642
0.904383,1.058252
0.905661,1.057862
0.906939,1.057471
0.908215,1.057080
0.909491,1.056689
0.910766,1.056297
0.912040,1.055906
0.913314,1.055514
0.914587,1.055122
0.915859,1.054730
0.917130,1.054337
0.918401,1.053944
0.919671,1.053552
0.920940,1.053158
0.922208,1.052765
0.923476,1.052371
0.924743,1.051978
0.926010,1.051584
0.927275,1.051189
0.928540,1.050795
0.929804,1.050400
0.931068,1.050005
0.932331,1.049610
0.933593,1.049215
0.934855,1.048819
0.936115,1.048424
0.937376,1.048028
0.938635,1.047632
0.939894,1.047235
0.941152,1.046839
0.942409,1.046442
0.943666,1.046045
0.944922,1.045648
0.946178,1.045250
0.947432,1.044853
0.948687,1.044455
0.949940,1.044057
0.951193,1.043659
0.952445,1.043260
0.953697,1.042862
0.954947,1.042463
0.956198,1.042064
0.957447,1.041664
0.958696,1.041265
0.959945,1.040865
0.961192,1.040466
0.962440,1.040066
0.963686,1.039665
0.964932,1.039265
0.966177,1.038864
0.967422,1.038464
0.968666,1.038063
0.969909,1.037661
0.971152,1.037260
0.972394,1.036858
0.973636,1.036457
0.974877,1.036055
0.976117,1.035652
0.977357,1.035250
0.978596,1.034848
0.979835,1.034445
0.981073,1.034042
0.982310,1.033639
0.983547,1.033236
0.984783,1.032832
0.986019,1.032428
0.987254,1.032025
0.988489,1.031621
0.989723,1.031216
0.990956,1.030812
0.992189,1.030407
0.993421,1.030003
0.994653,1.029598
0.995884,1.029193
0.997115,1.028787
0.998345,1.028382
0.999574,1.027976
1.000803,1.027570
1.002032,1.027164
1.003260,1.026758
1.004487,1.026352
1.005714,1.025945
1.006940,1.025539
1.008166,1.025132
1.009391,1.024725
1.010616,1.024318
1.011840,1.023910
1.013064,1.023503
1.014287,1.023095
1.015510,1.022687
1.016732,1.022279
1.017953,1.021871
1.019175,1.021462
1.020395,1.021054
1.021615,1.020645
1.022835,1.020236
1.024054,1.019827
1.025273,1.019418
1.026491,1.019008
1.027708,1.018599
1.028926,1.018189
1.030142,1.017779
1.031358,1.017369
1.032574,1.016959
1.033789,1.016549
1.035004,1.016138
1.036218,1.015728
1.037432,1.015317
1.038645,1.014906
1.039858,1.014495
1.041071,1.014084
1.042283,1.013672
1.043494,1.013261
1.044705,1.012849
1.045916,1.012437
1.047126,1.012025
1.048335,1.011613
1.049545,1.011200
1.050753,1.010788
1.051962,1.010375
1.053170,1.009962
1.054377,1.009550
1.055584,1.009136
1.056791,1.008723
1.057997,1.008310
1.059203,1.007896
1.060408,1.007483
1.061613,1.007069
1.062817,1.006655
1.064021,1.006241
1.065225,1.005827
1.066428,1.005412
1.067631,1.004998
1.068833,1.004583
1.070035,1.004169
1.071237,1.003754
1.072438,1.003339
1.073639,1.002923
1.074839,1.002508
1.076039,1.002093
1.077239,1.001677
1.078438,1.001261
1.079637,1.000846
1.080836,1.000430
1.082034,1.000014
1.083231,0.999597
1.084429,0.999181
1.085626,0.998765
1.086822,0.998348
1.088019,0.997931
1.089214,0.997514
1.090410,0.997098
1.091605,0.996680
1.092800,0.996263
1.093994,0.995846
1.095188,0.995428
1.096382,0.995011
1.097575,0.994593
1.098768,0.994175
1.099961,0.993757
1.101153,0.993339
1.102345,0.992921
1.103537,0.992503
1.104728,0.992085
1.105919,0.991666
1.107110,0.991247
1.108300,0.990829
1.109490,0.990410
1.110680,0.989991
1.111869,0.989572
1.113058,0.989153
1.114247,0.988733
1.115435,0.988314
1.116623,0.987895
1.117811,0.987475
1.118999,0.987055
1.120186,0.986636
1.121373,0.986216
1.122559,0.985796
1.123746,0.985375
1.124932,0.984955
1.126117,0.984535
1.127303,0.984115
1.128488,0.983694
1.129673,0.983273
1.130857,0.982853
1.132041,0.982432
1.133225,0.982011
1.134409,0.981590
1.135593,0.981169
1.136776,0.980748
1.137959,0.980327
1.139141,0.979905
1.140324,0.979484
1.141506,0.979062
1.142688,0.978641
1.143870,0.978219
1.145051,0.977797
1.146232,0.977375
1.147413,0.976953
1.148594,0.976531
1.149774,0.976109
1.150954,0.975687
1.152134,0.975265
1.153314,0.974842
1.154493,0.974420
1.155673,0.973997
1.156852,0.973575
1.158030,0.973152
1.159209,0.972729
1.160387,0.972307
1.161566,0.971884
1.162743,0.971461
1.163921,0.971038
1.165099,0.970615
1.166276,0.970191
1.167453,0.969768
1.168630,0.969345
1.169807,0.968922
1.170983,0.968498
1.172160,0.968075
1.173336,0.967651
1.174512,0.967227
1.175688,0.966804
1.176863,0.966380
1.178039,0.965956
1.179214,0.965532
1.180389,0.965108
1.181564,0.964684
1.182739,0.964260
1.183913,0.963836
1.185088,0.963412
1.186262,0.962988
1.187436,0.962563
1.188610,0.962139
1.189784,0.961715
1.190957,0.961290
1.192131,0.960866
1.193304,0.960441
1.194477,0.960017
1.195650,0.959592
1.196823,0.959168
1.197996,0.958743
1.199169,0.958318
1.200341,0.957893
1.201514,0.957469
1.202686,0.957044
1.203858,0.956619
1.205030,0.956194
1.206202,0.955769
1.207374,0.955344
1.208546,0.954919
1.209718,0.954494
1.210889,0.954069
1.212061,0.953644
1.213232,0.953218
1.214403,0.952793
1.215575,0.952368
1.216746,0.951943
1.217917,0.951517
1.219088,0.951092
1.220259,0.950667
1.221429,0.950241
1.222600,0.949816
1.223771,0.949391
1.224941,0.948965
1.226112,0.948540
1.227282,0.948114
1.228453,0.947689
1.229623,0.947264
1.230793,0.946838
1.231964,0.946413
1.233134,0.945987
1.234304,0.945562
1.235474,0.945136
1.236644,0.944710
1.237814,0.944285
1.238984,0.943859
1.240154,0.943434
1.241324,0.943008
1.242494,0.942583
1.243664,0.942157
1.244834,0.941732
1.246004,0.941306
1.247174,0.940880
1.248344,0.940455
1.249514,0.940029
1.250684,0.939604
1.251854,0.939178
1.253024,0.938753
1.254194,0.938327
1.255364,0.937902
1.256534,0.937476
1.257704,0.937051
1.258874,0.936625
1.260044,0.936200
1.261214,0.935774
1.262385,0.935349
1.263555,0.934924
1.264725,0.934498
1.265895,0.934073
1.267066,0.933648
1.268236,0.933222
1.269407,0.932797
1.270577,0.932372
1.271748,0.931947
1.272918,0.931521
1.274089,0.931096
1.275260,0.930671
1.276431,0.930246
1.277602,0.929821
1.278773,0.929396
1.279944,0.928971
1.281115,0.928546
1.282287,0.928121
1.283458,0.927696
1.284630,0.927272
1.285801,0.926847
1.286973,0.926422
1.288145,0.925997
1.289317,0.925573
1.290489,0.925148
1.291662,0.924724
1.292834,0.924299
1.294006,0.923875
1.295179,0.923451
1.296352,0.923026
1.297525,0.922602
1.298698,0.922178
1.299871,0.921754
1.301045,0.921330
1.302218,0.920906
1.303392,0.920482
1.304566,0.920058
1.305740,0.919634
1.306914,0.919210
1.308089,0.918787
1.309264,0.918363
1.310438,0.917940
1.311614,0.917516
1.312789,0.917093
1.313964,0.916670
1.315140,0.916247
1.316316,0.915823
1.317492,0.915400
1.318668,0.914978
1.319845,0.914555
1.321021,0.914132
1.322198,0.913709
1.323376,0.913287
1.324553,0.912864
1.325731,0.912442
1.326909,0.912020
1.328087,0.911597
1.329266,0.911175
1.330445,0.910753
1.331624,0.910332
1.332803,0.909910
1.333982,0.909488
1.335162,0.909067
1.336343,0.908645
1.337523,0.908224
1.338704,0.907803
1.339885,0.907381
1.341066,0.906960
1.342248,0.906540
1.343430,0.906119
1.344612,0.905698
1.345795,0.905278
1.346978,0.904857
1.348161,0.904437
1.349345,0.904017
1.350529,0.903597
1.351714,0.903177
1.352898,0.902758
1.354083,0.902338
1.355269,0.901919
1.356455,0.901499
1.357641,0.901080
1.358828,0.900661
1.360015,0.900242
1.361202,0.899823
1.362390,0.899405
1.363578,0.898986
1.364767,0.898568
1.365956,0.898150
1.367146,0.897732
1.368335,0.897314
1.369526,0.896897
1.370717,0.896479
1.371908,0.896062
1.373100,0.895645
1.374292,0.895228
1.375484,0.894811
1.376678,0.894395
1.377871,0.893978
1.379065,0.893562
1.380260,0.893146
1.381455,0.892730
1.382650,0.892314
1.383847,0.891899
1.385043,0.891483
1.386240,0.891068
